x,y,freshwater_hci,popden2010,maxRDD,meanUSE,maxDOF,minCSI,maxSED
-36.125,83.625,,,1.0,1.0,1.0,1.0,1.0
-35.875,83.625,,,1.0,1.0,1.0,1.0,1.0
-35.125,83.625,,,1.0,1.0,1.0,1.0,1.0
-32.125,83.625,,,1.0,1.0,1.0,1.0,1.0
-30.125,83.625,,,1.0,1.0,1.0,1.0,1.0
-29.875,83.625,,,1.0,1.0,1.0,1.0,1.0
-29.625,83.625,,,1.0,1.0,1.0,1.0,1.0
-37.875,83.375,,,1.0,1.0,1.0,1.0,1.0
-37.625,83.375,1.0,,1.0,1.0,1.0,1.0,1.0
-37.375,83.375,1.0,,1.0,1.0,1.0,1.0,1.0
-36.875,83.375,,,1.0,1.0,1.0,1.0,1.0
-36.625,83.375,,,1.0,1.0,1.0,1.0,1.0
-36.375,83.375,,,1.0,1.0,1.0,1.0,1.0
-36.125,83.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-35.875,83.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-35.625,83.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-35.375,83.375,1.0,1.0,,,,,
-35.125,83.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-34.875,83.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-34.625,83.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-34.375,83.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-34.125,83.375,1.0,,1.0,1.0,1.0,1.0,1.0
-33.875,83.375,,,1.0,1.0,1.0,1.0,1.0
-33.625,83.375,1.0,,1.0,1.0,1.0,1.0,1.0
-33.375,83.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-33.125,83.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-32.875,83.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-32.625,83.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-32.375,83.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-32.125,83.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-31.875,83.375,1.0,,1.0,1.0,1.0,1.0,1.0
-31.625,83.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-31.375,83.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-31.125,83.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-30.875,83.375,1.0,,1.0,1.0,1.0,1.0,1.0
-30.625,83.375,1.0,,1.0,1.0,1.0,1.0,1.0
-30.375,83.375,1.0,,1.0,1.0,1.0,1.0,1.0
-30.125,83.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-29.875,83.375,1.0,1.0,,,,,
-29.625,83.375,1.0,1.0,,,,,
-29.375,83.375,1.0,,,,,,
-29.125,83.375,1.0,,,,,,
-28.125,83.375,,,1.0,1.0,1.0,1.0,1.0
-27.875,83.375,,,1.0,1.0,1.0,1.0,1.0
-77.625,83.125,,,1.0,1.0,1.0,1.0,1.0
-77.375,83.125,,,1.0,1.0,1.0,1.0,1.0
-77.125,83.125,,,1.0,1.0,1.0,1.0,1.0
-76.875,83.125,,,1.0,1.0,1.0,1.0,1.0
-76.625,83.125,,,1.0,1.0,1.0,1.0,1.0
-76.375,83.125,,,1.0,1.0,1.0,1.0,1.0
-76.125,83.125,,,1.0,1.0,1.0,1.0,1.0
-75.875,83.125,,,1.0,1.0,1.0,1.0,1.0
-75.625,83.125,,,1.0,1.0,1.0,1.0,1.0
-75.375,83.125,,,1.0,1.0,1.0,1.0,1.0
-75.125,83.125,,,1.0,1.0,1.0,1.0,1.0
-74.875,83.125,,,1.0,1.0,1.0,1.0,1.0
-74.625,83.125,,,1.0,1.0,1.0,1.0,1.0
-74.375,83.125,,,1.0,1.0,1.0,1.0,1.0
-74.125,83.125,,,1.0,1.0,1.0,1.0,1.0
-73.875,83.125,,,1.0,1.0,1.0,1.0,1.0
-73.625,83.125,,,1.0,1.0,1.0,1.0,1.0
-73.375,83.125,,,1.0,1.0,1.0,1.0,1.0
-73.125,83.125,,,1.0,1.0,1.0,1.0,1.0
-72.875,83.125,,,1.0,1.0,1.0,1.0,1.0
-72.625,83.125,,,1.0,1.0,1.0,1.0,1.0
-72.375,83.125,,,1.0,1.0,1.0,1.0,1.0
-72.125,83.125,,,1.0,1.0,1.0,1.0,1.0
-71.875,83.125,,,1.0,1.0,1.0,1.0,1.0
-71.625,83.125,,,1.0,1.0,1.0,1.0,1.0
-71.375,83.125,,,1.0,1.0,1.0,1.0,1.0
-71.125,83.125,,,1.0,1.0,1.0,1.0,1.0
-70.875,83.125,,,1.0,1.0,1.0,1.0,1.0
-70.625,83.125,,,1.0,1.0,1.0,1.0,1.0
-70.125,83.125,,,1.0,1.0,1.0,1.0,1.0
-69.875,83.125,,,1.0,1.0,1.0,1.0,1.0
-69.625,83.125,,,1.0,1.0,1.0,1.0,1.0
-42.875,83.125,1.0,,1.0,1.0,1.0,1.0,1.0
-42.625,83.125,1.0,,1.0,1.0,1.0,1.0,1.0
-42.375,83.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-42.125,83.125,,,1.0,1.0,1.0,1.0,1.0
-37.625,83.125,,,1.0,1.0,1.0,1.0,1.0
-37.375,83.125,,,1.0,1.0,1.0,1.0,1.0
-37.125,83.125,1.0,,,,,,
-36.875,83.125,1.0,,1.0,1.0,1.0,1.0,1.0
-36.625,83.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-36.375,83.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-36.125,83.125,1.0,,1.0,1.0,1.0,1.0,1.0
-35.875,83.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-35.625,83.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-35.375,83.125,1.0,,1.0,1.0,1.0,1.0,1.0
-35.125,83.125,1.0,,,,,,
-34.875,83.125,1.0,,1.0,1.0,1.0,1.0,1.0
-34.625,83.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-34.375,83.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-34.125,83.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-33.875,83.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-33.625,83.125,1.0,,1.0,1.0,1.0,1.0,1.0
-31.125,83.125,,,1.0,1.0,1.0,1.0,1.0
-30.375,83.125,,,1.0,1.0,1.0,1.0,1.0
-29.625,83.125,,,1.0,1.0,1.0,1.0,1.0
-29.375,83.125,,,1.0,1.0,1.0,1.0,1.0
-29.125,83.125,,,1.0,1.0,1.0,1.0,1.0
-28.375,83.125,,,1.0,1.0,1.0,1.0,1.0
-28.125,83.125,,,1.0,1.0,1.0,1.0,1.0
-27.375,83.125,,,1.0,1.0,1.0,1.0,1.0
-27.125,83.125,,,1.0,1.0,1.0,1.0,1.0
-26.875,83.125,,,1.0,1.0,1.0,1.0,1.0
-81.125,82.875,,,1.0,1.0,1.0,1.0,1.0
-80.875,82.875,,,1.0,1.0,1.0,1.0,1.0
-80.625,82.875,,,1.0,1.0,1.0,1.0,1.0
-80.375,82.875,,,1.0,1.0,1.0,1.0,1.0
-80.125,82.875,,,1.0,1.0,1.0,1.0,1.0
-79.875,82.875,,,1.0,1.0,1.0,1.0,1.0
-79.625,82.875,,,1.0,1.0,1.0,1.0,1.0
-79.375,82.875,,,1.0,1.0,1.0,1.0,1.0
-79.125,82.875,,,1.0,1.0,1.0,1.0,1.0
