Risk Type,Threat Level,Threat Score,Description,Mitigation Score,Mitigation Action
Invasive Species,High,8,glossy buckthorn,8,"1. Prioritize immediate control measures to prevent spread.
2. Use targeted manual removal, mechanical methods, or approved herbicide applications.
3. Conduct habitat restoration by replanting native species.
4. Monitor monthly to ensure eradication success and prevent re-establishment.
5. Engage local communities or land managers for sustained management efforts."
Invasive Species,High,8,glossy buckthorn,8,"1. Prioritize immediate control measures to prevent spread.
2. Use targeted manual removal, mechanical methods, or approved herbicide applications.
3. Conduct habitat restoration by replanting native species.
4. Monitor monthly to ensure eradication success and prevent re-establishment.
5. Engage local communities or land managers for sustained management efforts."
Invasive Species,High,8,glossy buckthorn,8,"1. Prioritize immediate control measures to prevent spread.
2. Use targeted manual removal, mechanical methods, or approved herbicide applications.
3. Conduct habitat restoration by replanting native species.
4. Monitor monthly to ensure eradication success and prevent re-establishment.
5. Engage local communities or land managers for sustained management efforts."
Invasive Species,High,8,viburnum leaf beetle,8,"1. Prioritize immediate control measures to prevent spread.
2. Use targeted manual removal, mechanical methods, or approved herbicide applications.
3. Conduct habitat restoration by replanting native species.
4. Monitor monthly to ensure eradication success and prevent re-establishment.
5. Engage local communities or land managers for sustained management efforts."
Invasive Species,High,8,viburnum leaf beetle,8,"1. Prioritize immediate control measures to prevent spread.
2. Use targeted manual removal, mechanical methods, or approved herbicide applications.
3. Conduct habitat restoration by replanting native species.
4. Monitor monthly to ensure eradication success and prevent re-establishment.
5. Engage local communities or land managers for sustained management efforts."
Invasive Species,High,8,viburnum leaf beetle,8,"1. Prioritize immediate control measures to prevent spread.
2. Use targeted manual removal, mechanical methods, or approved herbicide applications.
3. Conduct habitat restoration by replanting native species.
4. Monitor monthly to ensure eradication success and prevent re-establishment.
5. Engage local communities or land managers for sustained management efforts."
Invasive Species,High,8,glossy buckthorn,8,"1. Prioritize immediate control measures to prevent spread.
2. Use targeted manual removal, mechanical methods, or approved herbicide applications.
3. Conduct habitat restoration by replanting native species.
4. Monitor monthly to ensure eradication success and prevent re-establishment.
5. Engage local communities or land managers for sustained management efforts."
Invasive Species,High,8,glossy buckthorn,8,"1. Prioritize immediate control measures to prevent spread.
2. Use targeted manual removal, mechanical methods, or approved herbicide applications.
3. Conduct habitat restoration by replanting native species.
4. Monitor monthly to ensure eradication success and prevent re-establishment.
5. Engage local communities or land managers for sustained management efforts."
Invasive Species,High,8,Japanese angelica tree,8,"1. Prioritize immediate control measures to prevent spread.
2. Use targeted manual removal, mechanical methods, or approved herbicide applications.
3. Conduct habitat restoration by replanting native species.
4. Monitor monthly to ensure eradication success and prevent re-establishment.
5. Engage local communities or land managers for sustained management efforts."
Invasive Species,High,8,Japanese angelica tree,8,"1. Prioritize immediate control measures to prevent spread.
2. Use targeted manual removal, mechanical methods, or approved herbicide applications.
3. Conduct habitat restoration by replanting native species.
4. Monitor monthly to ensure eradication success and prevent re-establishment.
5. Engage local communities or land managers for sustained management efforts."
Invasive Species,High,8,Japanese angelica tree,8,"1. Prioritize immediate control measures to prevent spread.
2. Use targeted manual removal, mechanical methods, or approved herbicide applications.
3. Conduct habitat restoration by replanting native species.
4. Monitor monthly to ensure eradication success and prevent re-establishment.
5. Engage local communities or land managers for sustained management efforts."
Invasive Species,High,8,"mile-a-minute vine, Asiatic tearthumb",8,"1. Prioritize immediate control measures to prevent spread.
2. Use targeted manual removal, mechanical methods, or approved herbicide applications.
3. Conduct habitat restoration by replanting native species.
4. Monitor monthly to ensure eradication success and prevent re-establishment.
5. Engage local communities or land managers for sustained management efforts."
Invasive Species,Moderate,6,sweet breath of spring,6,"1. Develop a containment strategy to limit the species' spread.
2. Perform periodic removals using manual or low-impact herbicide applications.
3. Monitor the affected area quarterly and assess spread potential.
4. Educate landowners or stakeholders about identifying and reporting the species."
Invasive Species,Moderate,6,sweet breath of spring,6,"1. Develop a containment strategy to limit the species' spread.
2. Perform periodic removals using manual or low-impact herbicide applications.
3. Monitor the affected area quarterly and assess spread potential.
4. Educate landowners or stakeholders about identifying and reporting the species."
Invasive Species,High,8,Japanese knotweed,8,"1. Prioritize immediate control measures to prevent spread.
2. Use targeted manual removal, mechanical methods, or approved herbicide applications.
3. Conduct habitat restoration by replanting native species.
4. Monitor monthly to ensure eradication success and prevent re-establishment.
5. Engage local communities or land managers for sustained management efforts."
Invasive Species,High,8,"mile-a-minute vine, Asiatic tearthumb",8,"1. Prioritize immediate control measures to prevent spread.
2. Use targeted manual removal, mechanical methods, or approved herbicide applications.
3. Conduct habitat restoration by replanting native species.
4. Monitor monthly to ensure eradication success and prevent re-establishment.
5. Engage local communities or land managers for sustained management efforts."
Invasive Species,High,8,kudzu,8,"1. Prioritize immediate control measures to prevent spread.
2. Use targeted manual removal, mechanical methods, or approved herbicide applications.
3. Conduct habitat restoration by replanting native species.
4. Monitor monthly to ensure eradication success and prevent re-establishment.
5. Engage local communities or land managers for sustained management efforts."
Invasive Species,Moderate,6,purple loosestrife,6,"1. Develop a containment strategy to limit the species' spread.
2. Perform periodic removals using manual or low-impact herbicide applications.
3. Monitor the affected area quarterly and assess spread potential.
4. Educate landowners or stakeholders about identifying and reporting the species."
Invasive Species,High,8,Chinese wisteria,8,"1. Prioritize immediate control measures to prevent spread.
2. Use targeted manual removal, mechanical methods, or approved herbicide applications.
3. Conduct habitat restoration by replanting native species.
4. Monitor monthly to ensure eradication success and prevent re-establishment.
5. Engage local communities or land managers for sustained management efforts."
Invasive Species,High,8,Japanese honeysuckle,8,"1. Prioritize immediate control measures to prevent spread.
2. Use targeted manual removal, mechanical methods, or approved herbicide applications.
3. Conduct habitat restoration by replanting native species.
4. Monitor monthly to ensure eradication success and prevent re-establishment.
5. Engage local communities or land managers for sustained management efforts."
Invasive Species,Moderate,6,paper-mulberry,6,"1. Develop a containment strategy to limit the species' spread.
2. Perform periodic removals using manual or low-impact herbicide applications.
3. Monitor the affected area quarterly and assess spread potential.
4. Educate landowners or stakeholders about identifying and reporting the species."
Invasive Species,High,8,Japanese knotweed,8,"1. Prioritize immediate control measures to prevent spread.
2. Use targeted manual removal, mechanical methods, or approved herbicide applications.
3. Conduct habitat restoration by replanting native species.
4. Monitor monthly to ensure eradication success and prevent re-establishment.
5. Engage local communities or land managers for sustained management efforts."
Invasive Species,High,8,Japanese knotweed,8,"1. Prioritize immediate control measures to prevent spread.
2. Use targeted manual removal, mechanical methods, or approved herbicide applications.
3. Conduct habitat restoration by replanting native species.
4. Monitor monthly to ensure eradication success and prevent re-establishment.
5. Engage local communities or land managers for sustained management efforts."
Invasive Species,High,8,spotted lanternfly,8,"1. Prioritize immediate control measures to prevent spread.
2. Use targeted manual removal, mechanical methods, or approved herbicide applications.
3. Conduct habitat restoration by replanting native species.
4. Monitor monthly to ensure eradication success and prevent re-establishment.
5. Engage local communities or land managers for sustained management efforts."
Invasive Species,High,8,spotted lanternfly,8,"1. Prioritize immediate control measures to prevent spread.
2. Use targeted manual removal, mechanical methods, or approved herbicide applications.
3. Conduct habitat restoration by replanting native species.
4. Monitor monthly to ensure eradication success and prevent re-establishment.
5. Engage local communities or land managers for sustained management efforts."
Invasive Species,High,8,round leaf bittersweet,8,"1. Prioritize immediate control measures to prevent spread.
2. Use targeted manual removal, mechanical methods, or approved herbicide applications.
3. Conduct habitat restoration by replanting native species.
4. Monitor monthly to ensure eradication success and prevent re-establishment.
5. Engage local communities or land managers for sustained management efforts."
Invasive Species,High,8,tree-of-heaven,8,"1. Prioritize immediate control measures to prevent spread.
2. Use targeted manual removal, mechanical methods, or approved herbicide applications.
3. Conduct habitat restoration by replanting native species.
4. Monitor monthly to ensure eradication success and prevent re-establishment.
5. Engage local communities or land managers for sustained management efforts."
Invasive Species,High,8,mugwort,8,"1. Prioritize immediate control measures to prevent spread.
2. Use targeted manual removal, mechanical methods, or approved herbicide applications.
3. Conduct habitat restoration by replanting native species.
4. Monitor monthly to ensure eradication success and prevent re-establishment.
5. Engage local communities or land managers for sustained management efforts."
Invasive Species,High,8,porcelain-berry,8,"1. Prioritize immediate control measures to prevent spread.
2. Use targeted manual removal, mechanical methods, or approved herbicide applications.
3. Conduct habitat restoration by replanting native species.
4. Monitor monthly to ensure eradication success and prevent re-establishment.
5. Engage local communities or land managers for sustained management efforts."
Invasive Species,Low,2,spiny sowthistle,2,"1. Monitor the area annually to ensure the species remains under control.
2. Document any changes in population size or habitat impact.
3. Prepare educational materials for early detection and reporting.
4. Focus resources on higher-priority areas while maintaining observation."
Invasive Species,High,8,tree-of-heaven,8,"1. Prioritize immediate control measures to prevent spread.
2. Use targeted manual removal, mechanical methods, or approved herbicide applications.
3. Conduct habitat restoration by replanting native species.
4. Monitor monthly to ensure eradication success and prevent re-establishment.
5. Engage local communities or land managers for sustained management efforts."
Invasive Species,Low,2,bull thistle,2,"1. Monitor the area annually to ensure the species remains under control.
2. Document any changes in population size or habitat impact.
3. Prepare educational materials for early detection and reporting.
4. Focus resources on higher-priority areas while maintaining observation."
Invasive Species,High,8,black locust,8,"1. Prioritize immediate control measures to prevent spread.
2. Use targeted manual removal, mechanical methods, or approved herbicide applications.
3. Conduct habitat restoration by replanting native species.
4. Monitor monthly to ensure eradication success and prevent re-establishment.
5. Engage local communities or land managers for sustained management efforts."
Invasive Species,Low,2,privet,2,"1. Monitor the area annually to ensure the species remains under control.
2. Document any changes in population size or habitat impact.
3. Prepare educational materials for early detection and reporting.
4. Focus resources on higher-priority areas while maintaining observation."
Invasive Species,Low,2,bush honeysuckles (exotic),2,"1. Monitor the area annually to ensure the species remains under control.
2. Document any changes in population size or habitat impact.
3. Prepare educational materials for early detection and reporting.
4. Focus resources on higher-priority areas while maintaining observation."
Freshwater Risk,High,8,Freshwater risk level: 0.6128402385814556,8,"1. Prioritize immediate control measures to prevent spread.
2. Use targeted manual removal, mechanical methods, or approved herbicide applications.
3. Conduct habitat restoration by replanting native species.
4. Monitor monthly to ensure eradication success and prevent re-establishment.
5. Engage local communities or land managers for sustained management efforts."
Freshwater Risk,High,8,Freshwater risk level: 1.0,8,"1. Prioritize immediate control measures to prevent spread.
2. Use targeted manual removal, mechanical methods, or approved herbicide applications.
3. Conduct habitat restoration by replanting native species.
4. Monitor monthly to ensure eradication success and prevent re-establishment.
5. Engage local communities or land managers for sustained management efforts."
Freshwater Risk,High,8,Freshwater risk level: 1.0,8,"1. Prioritize immediate control measures to prevent spread.
2. Use targeted manual removal, mechanical methods, or approved herbicide applications.
3. Conduct habitat restoration by replanting native species.
4. Monitor monthly to ensure eradication success and prevent re-establishment.
5. Engage local communities or land managers for sustained management efforts."
Freshwater Risk,High,8,Freshwater risk level: 1.0,8,"1. Prioritize immediate control measures to prevent spread.
2. Use targeted manual removal, mechanical methods, or approved herbicide applications.
3. Conduct habitat restoration by replanting native species.
4. Monitor monthly to ensure eradication success and prevent re-establishment.
5. Engage local communities or land managers for sustained management efforts."
IUCN,Moderate,6,"calidris pusilla (linnaeus, 1766)",6,"1. Develop a containment strategy to limit the species' spread.
2. Perform periodic removals using manual or low-impact herbicide applications.
3. Monitor the affected area quarterly and assess spread potential.
4. Educate landowners or stakeholders about identifying and reporting the species."
IUCN,Moderate,6,"quiscalus quiscula (linnaeus, 1758)",6,"1. Develop a containment strategy to limit the species' spread.
2. Perform periodic removals using manual or low-impact herbicide applications.
3. Monitor the affected area quarterly and assess spread potential.
4. Educate landowners or stakeholders about identifying and reporting the species."
IUCN,Low,2,"setophaga striata (j.r.forster, 1772)",2,"1. Monitor the area annually to ensure the species remains under control.
2. Document any changes in population size or habitat impact.
3. Prepare educational materials for early detection and reporting.
4. Focus resources on higher-priority areas while maintaining observation."
IUCN,Moderate,6,"quiscalus quiscula (linnaeus, 1758)",6,"1. Develop a containment strategy to limit the species' spread.
2. Perform periodic removals using manual or low-impact herbicide applications.
3. Monitor the affected area quarterly and assess spread potential.
4. Educate landowners or stakeholders about identifying and reporting the species."
